1-May-06	Man and His Symbols	"Jung, etc."	6	Favorite parts and dream significance and modern art
1-Jun-06	On the Shortness of Life	Seneca	2	Too much focus on Roman problems
1-Jul-06	Meditations	Marcus Aurelius	6	"Sometimes Roman, often universal"
1-Oct-06	"Discourses, Books 1 and 2"	Epictetus	6	Excellent but long
1-Nov-06	Tao Te Ching	Lao Tzu	5	Choice snippets but with many ambiguities
1-Nov-06	My Name is Red	Orhan Pamuk	4	Black tries to marry Shekure by avenging Enishte's murder
6-Dec-06	Last Exit to Brooklyn	Hubert Selby	6	Short stories together; writes with no pretension; Tralala
6-Dec-06	Art of Happiness	Dalai Lama	4	"Interesting to see psychologist's problem, but better if just by Lama"
7-Jan-07	Collapse	Jared Diamond	5	"Argument that collapses caused by complex societies reliant on declining agriculture (Greenland, Rwanda)"
10-Jan-07	Things Fall Apart	Chinua Achebe	5	"Okonkwo's life gets messed up, pacification is dumb; few words"
7-Jan-07	Making Mute Stones Speak	Schick and Toth	3	"Not exciting, even for paleoanthrop, but gives good controversies"
7-Feb-07	Our Inner Ape	Frans de Waal	4	"Excellent bridging of the human-ape gap, makes you think twice"
7-Feb-07	The Chimpanzee	Jane Goodall	2	"Interesting to read about chimp politics, but nothing spectacular"
7-Feb-07	Invention of Love	Tom Stoppard	3	"Classical references, love poetry, but some parts poorly constructed or wordy"
7-Feb-07	Bonobo: The Forgotten Ape	Frans de Waal	2	"Lots of pictures, but very little new information"
7-Feb-07	Horace: The Odes	"J. D. McClatchy, ed."	5	"Most of the translations are very good, and Horace is a wonderful poet"
7-Feb-07	Broken Fountain	Thomas Belmonte	3	"Reads like a novel, and sometimes feels generalized; Neapolitan poor"
7-Mar-07	Other Side of Eden	Hugh Brody	3	"Hunter-gatherers are the real settled people, agriculture forces movement"
7-Mar-07	Mismeasure of Man	Stephen Gould	3	"Gets very dense, but puts across important points about ""intelligence"""
8-Mar-07	Buzkashi	G. Whitney Azoy	3	"Fun look into the game, but sometimes weak on narrative"
7-Apr-07	Das Boot	Lothar-Gunther Buchheim	5	"Long but moves quickly, gives feel of U-boat life"
7-Apr-07	Enemy Submarine	Wolfgang Frank	3	"Stories about Prien, including some war logs"
7-Apr-07	Veiled Sentiments	Lila Abu-Lughod	5	"Bedouin women, including differing roles of poetry and normal discourse"
7-Apr-07	Crying of Lot 49	Thomas Pynchon	6	Oedipa Maas and the inheritance conspiracy
7-Apr-07	Shadows of War	Carolyn Nordstrom	4	Extra-state economies and powers; could have been half the length
7-May-07	Tractatus Logico-Philosophicus	Ludwig Wittgenstein	4	"Logic and life, picks up a whole lot in part 6"
7-May-07	Man's Search for Meaning	Victor Frankl	2	"Like the Stoics, only a little modern"
7-May-07	Pudd'nhead Wilson	Mark Twain	4	Fun story and implications on slavery
7-Jun-07	Islam: Very Short Intro	Malise Ruthven	3	"Only last part interesting, but seems subjective"
7-Jun-07	The Art of War	Sun Tzu (Ralph Sawyer)	5	"Short, quick, and to the point"
7-Jul-07	Autobiography	Mark Twain	6	"Sometimes dense, often nice Twain-y"
7-Jul-07	Peloponnesian War	Thucydides	4	"Dense, but very clear for its time"
7-Aug-07	Unbearable Lightness of Being	Milan Kundera	5	Bizarre study of life choices and their meanings
7-Aug-07	Death to the French	C. S. Forrester	3	"Ridiculous soldier worship, decent story"
7-Aug-07	All Quiet on the Western Front	Erich Maria Remarque	6	"Short and sweet, powerful as to lost generation"
7-Oct-07	White Noise	Don DeLillo	6	"Death, commodification, paranoia, simulation"
25-Oct-07	Postmodern Condition	Francois Lyotard	4	"Good points on paralogy, knowledge; weak on science"
7-Oct-07	A Wild Sheep Chase	Haruki Murakami	5	"Mutant sheep, Ear girl, day-to-day life"
7-Nov-07	If on a Winter's Night a Traveler	Italo Calvino	6	"Books that break off, who is reader/writer/story?"
7-Nov-07	Les Miserables	Victor Hugo	5	"Long French rants, but the end was priceless"
7-Dec-07	"My Cousin, My Gastroenterologist"	Mark Leyner	5	Totally empty and flat
7-Dec-07	"Gun, with Occasional Music"	Jonathan Lethem	4	"Dystopian noir, with touch of postmodern"
7-Dec-07	The Sea Came in at Midnight	Steve Erickson	3	"Postmodern 2nd half, too much sexing"
7-Dec-07	Do Androids Dream of Electric Sheep	Philip K. Dick	5	"Pomo SF, Mercerism and android Buster"
7-Jan-08	95 Poems	e e cummings	6	"Great cycle of time, messages of life, love"
8-Jan-08	Mao II	Don DeLillo	4	"Meaning of novels, photos, and crowds"
8-Jan-08	Xaipe	e e cummings	4	"Some great ones, but less than 95"
8-Feb-08	Love in the Times of Cholera	Gabriel Garcia Marquez	4	"Cute story of love, nice writing, longish"
25-Feb-08	Street Stories	Robert Jackall	3	"A lot of stories, not much depth or analysis"
2-Mar-08	Adventures of Tom Sawyer	Mark Twain	5	"Boyhood, superstitions, adventure"
13-Mar-08	"Witchcraft, Oracles, and Magic among the Azande"	E. E. Evans-Pritchard	5	"Fascinating witchcraft, ideological hermeticity"
8-Mar-08	Return to Laughter	Elenore Smith Bowen	4	"Good introspection, story, but long"
8-Mar-08	Cosmicomics	Italo Calvino	5	Cute stories from science
8-Mar-08	Prince and the Pauper	Mark Twain	4	"Quick story, some Twainism about death penalty"
8-Apr-08	Tales of the Field	John van Maanen	3	"Good look at ethnographies, too clever"
22-Apr-08	Charlotte's Web	E. B. White	5	"Quick, cute, 1950s"
8-May-08	"Surely You're Joking, Mr. Feynman"	Richard Feynman	4	"Crazy stories, easy read"
18-May-08	Danny: The Champion of the World	Roald Dahl	5	"Very fast, great children's story"
22-May-08	Lathe of Heaven	Ursula K. Le Guin	6	"Tremendously trippy, dreams and Dao"
27-May-08	One Day in the Life of Ivan Denisovich	Alexander Solzhenitsyn	5	"Fast, somehow not drepressing"
3-Jun-08	King Lear	Shakespeare	4	"Too many letters, not enough madness, good ending"
4-Jun-08	Legend of Sleepy Hollow	Washington Irving	5	Beautiful little children's story
6-Jun-08	Me Talk Pretty One Day	David Sedaris	5	"Quick, France and father, very funny"
24-Jun-08	Awakenings	Oliver Sacks	4	Incredible human stories
2-Jul-08	Complete Short Stories	Mark Twain	5	"All are good, many are excellent"
15-Jul-08	Lolita	Vladimir Nabokov	6	"Humbert, love, madness, glorious beauty"
18-Jul-08	The Man who was Thursday	G. K. Chesterton	4	"Quick, Syme and anarchists, Sunday"
20-Jul-08	After the Quake	Haruki Murakami	4	"Meaningful without clearness, Frog"
23-Jul-08	Kafka by the Shore	Haruki Murakami	5	"Kafka, Oshima, Saeki, Nakata, Col. Sanders"
25-Jul-08	Left Hand of Darkness	Ursula K. Le Guin	4	Feminist anthropology in space
30-Jul-08	Norwegian Wood	Haruki Murakami	5	"""Just"" a love story, Naoko/Watanabe/Midori"
3-Aug-08	Naked	David Sedaris	4	"Dark, cancer, C.O.G"
8-Aug-08	Huckleberry Finn	Mark Twain	5	"Slavery, cheating, ignorance, deus ex ending"
19-Aug-08	Great Gatsby	F. Scott Fitzgerald	5	"Love with a past idea, money"
25-Aug-08	After Dark	Haruki Murakami	3	"Lame dialogue, no real fun, Alphaville and Eri"
25-Aug-08	The Little Prince	Antoine de Saint-Exupery	5	Life lessons as from a child
30-Aug-08	Adverbs	Daniel Handler	4	"Lovely prose but too long, love stories"
4-Sep-08	Wind-Up Bird Chronicle	Haruki Murakami	5	"Kumiko, wells, Manchukuo, places"
7-Sep-08	Ender's Game	Orson Scott Card	5	Just as good as I remember
14-Sep-08	Speaker for the Dead	Orson Scott Card	4	"Anthropological scifi, piggies"
19-Sep-08	Xenocide	Orson Scott Card	2	Too long for too dumb story
29-Sep-08	"Pinball, 1973"	Haruki Murakami	4	"Vacuous malaise, only small wild story"
2-Oct-08	Lord of the Flies	William Golding	4	"Archetypal story, could have been better"
5-Oct-08	Hear the Wind Sing	Haruki Murakami	5	"The Rat, J, three girlfriends, tides of men"
8-Dec-08	Hard-Boiled Wonderland and the End of the World	Haruki Murakami	5	"Calcutec, INKlings, unicorns, Town"
11-Dec-08	I am a Fugitive from a Georgia Chain Gang	Robert Burns	4	"Autobiography, with chain gang descriptions"
14-Dec-08	Sputnik Sweetheart	Haruki Murakami	4	"Greek island, Sumire, Miu, Ferris wheel"
15-Dec-08	Foundation	Isaac Asimov	5	Psychohistory and the start
17-Dec-08	Foundation and Empire	Isaac Asimov	5	Empire battle and the Mule
20-Dec-08	Second Foundation	Isaac Asimov	5	"Mule, search for 2nd Found"
23-Dec-08	Rocannon's World	Ursula K. Le Guin	4	Travel south to attack offworld enemy
24-Dec-08	A Wizard of Earthsea	Ursula K. Le Guin	5	"Ged from Gont, to Roke, and shadow"
3-Jan-09	Memoir from Antproof Case	Mark Helprin	5	"Hudson, Brazil, WWII, gold"
11-Jan-09	Tombs of Atuan	Ursula K. Le Guin	3	Tenar grows up around Tombs
13-Jan-09	The Farthest Shore	Ursula K. Le Guin	4	Ged and Arren go on death quest
22-Jan-09	Tehanu	Ursula K. Le Guin	3	"Abrupt, confusing, Therru on Gont"
27-Jan-09	Fairy Tales	Hans Christian Andersen (Tatar)	5	"Christian, freaky, cool reads"
9-Feb-09	Orsinian Tales	Ursula K. Le Guin	3	Central European short stories
12-Feb-09	Absolutely True Diary of a Part-Time Indian	Sherman Alexie	4	"Fun, quick, poverty and Indianhood"
27-Feb-09	Other Wind	Ursula K. Le Guin	4	"Wall is broken, fun story"
1-Mar-09	Homeland	R. A. Salvatore	4	"Childish writing, but fun Drizzt story"
10-Mar-09	Exile	R. A. Salvatore	4	"2nd part, with gnomes and zombie"
28-Apr-09	Flatland	Edwin Abbot	3	Anthro part fun; rest boring
9-May-09	Sojourn	R. A. Salvatore	4	"3rd part, just as good"
14-May-09	Starship Troopers	Robert Heinlein	5	All Quiet in space
21-May-09	Tales from Earthsea	Ursula K. Le Guin	4	High Marsh is best
28-May-09	Roadside Picnic/Tale of the Troika	Boris and Arkady Strugatsky	5	Picnic is wicked; don't bother with Troika
9-Jun-09	Social Impact of the Chernobyl Disaster	David R. Marples	3	Funny since it's from 1987 or so
9-Jun-09	The Crystal Shard	R. A. Salvatore	4	"Fun story with Wulfgar, Regis, Bruenor"
9-Jun-09	Stranger in a Strange Land	Robert Heinlein	4	Better if Jubal would shut up
20-Jun-09	Gulliver's Travels	Jonathan Swift	3	Just read Lilliput; rest is repetitious
29-Jun-09	The Moon is a Harsh Mistress	Robert Heinlein	5	Friendly Skynet and revolution
4-Jul-09	The Gods Themselves	Isaac Asimov	5	"Electron Pump, but ends quickly"
25-Jul-09	Ringworld	Larry Niven	3	Lack of arc made it hard to follow
8-Aug-09	Streams of Silver	R. A. Salvatore	4	Classic adventure
9-Aug-09	Falling Man	Don DeLillo	3	"9/11, but story is confused"
30-Aug-09	Fellowship of the Ring	J. R. R. Tolkein	5	Much more British than I remembered
9-Sep-09	Two Towers	J. R. R. Tolkein	5	"Less battle, more culture than movies"
9-Sep-09	Return of the King	J. R. R. Tolkein	5	Orcs are so British!
9-Oct-09	The Halfling's Gem	R. A. Salvatore	2	"So predictable, and I can't take his writing no more"
9-Oct-09	Zombie Survival Guide	Max Brooks	4	Fun. Well thought out
24-Oct-09	World War Z	Max Brooks	4	"Good stories, but writing is only decent"
29-Oct-09	Last Days of Judas Iscariot	Stephen Adly Guirgis	4	Funny but dark. Satan is Clams.
13-Nov-09	Master and Margarita	Mikhail Bulgakov	4	I was looking for the satire and missed it
18-Nov-09	Disgrace	J. M. Coetzee	5	Anthropological quality is best part!
9-Dec-09	The Nuer	E. E. Evans-Pritchard	3	"Interesting, but repetitive. Read first part"
19-Dec-09	For Whom the Bell Tolls	Ernest Hemingway	4	Que puta es la guerra. Maquinas!
31-Dec-09	The Real Chimpanzee	Christophe Boesch	3	Leopard predation causes altruism
8-Jan-10	Everything is Illuminated	Jonathan Safran Foer	5	Ukrainian shtetl and Alexes
10-Jan-10	The Glass Menagerie	Tennessee Williams	5	Fragility personified in Laura
24-Jan-10	Farewell to Arms	Ernest Hemingway	5	War sections are best
2-Feb-10	"History of Britain, Vol I"	Simon Schama	4	"Easy/fun, some sentences are odd, presupposes knowledge"
1-Mar-10	"History of Britain, Vol II"	Simon Schama	3	"Long, I missed these moments in kingergarten"
15-Mar-10	"South of the Border, West of the Sun"	Haruki Murakami	4	"Shimamoto, Izumi, jazz bars"
26-Mar-10	"Dance, Dance, Dance"	Haruki Murakami	4	"Yumiyoshi, Yuki, Hawaii, Dolphin"
7-Apr-10	Eye of the World	Robert Jordan	5	"Long, but nice world created"
15-Apr-10	Rendezvous with Rama	Arthur C. Clarke	3	"Like a Phys 411 problem, but toooo long"
10-Apr-10	Parable of the Talents	Octavia Butler	3	"Conceit of journal was lost, Earthseed is flat idea"
23-May-10	Coming of Age in Samoa	Margaret Mead	4	"Cute ethnography, then cooler ethnography of 1920s women"
29-May-10	Barbary Shore	Norman Mailer	3	"Beautiful writing, but the story was wonky"
7-Jun-10	1984	George Orwell	5	Actually dystopic; psychologically complex
11-Jun-10	Alice's Adventures in Wonderland	Lewis Carroll	4	"Cute stories, lots of puns and poems"
12-Jun-10	Through the Looking Glass	Lewis Carroll	2	"Non sequiturs, long boring poems, etc"
13-Jun-10	Planet of the Apes	Pierre Boulle	5	Truly classic 1960s SF
29-Jun-10	Wind-Up Bird Chronicle	Haruki Murakami	5	First reread in years. Worth it.
30-Jun-10	Far Rainbow	Boris and Arkady Strugatsky	4	Physicists destroy a planet
1-Jul-10	The Second Invasion from Mars	Boris and Arkady Strugatsky	4	Martians buy up Earth for gastric juice
28-Jul-10	The Short Course in Beer	Lynn Hoffman	2	Who typeset this thing?
9-Aug-10	The Idiot	Fyodor Dostoevsky	3	"Mortification & insanity, but not really"
31-Aug-10	Twilight	Stephanie Meyer	3	"7 parts teen romance, 2 parts vampire, 1 part werewolf; but tough to put down"
8-Sep-10	Neuromancer	William Gibson	5	Free association and Deus Ex
12-Sep-10	Freakonomics	Steven Levitt and Stephen Dubner	3	"A lot of book, but not a lot of data"
29-Sep-10	Thus Spoke Zarathustra	Friedrich Nietzsche	4	Skip to Christianity-upturning and overman-longing
13-Oct-10	The Baron in the Trees	Italo Calvino	4	Life convictions: why we have and what they mean
18-Nov-10	Interview with the Vampire	Anne Rice	3	"Entertaining, but not as literary or rich as I hoped"
1-Dec-10	The Game	Neil Strauss	2	Too long and poorly-written; but social maneuvers worth a thought
27-Dec-10	Textual Scholarship	D C Greetham	4	Nice intro for book scholarship
8-Jan-11	To Kill a Mockingbird	Harper Lee	3	"Sermony, good for children"
17-Jan-11	Plug-In Drug	Marie Winn	4	Have no TV: I'm convinced
3-Feb-11	Njal's Saga	Anonymous	4	"Genealogies, maimings, and poignant moments"
12-Feb-11	Castle of Crossed Destinies	Italo Calvino	2	"Stories get similar, except for autobiography"
16-Mar-11	New Introduction to Bibliography	Philip Gaskell	4	All you ever wanted to know about books
31-Mar-11	Pride and Prejudice	Jane Austen	5	"Not about stupid girl talk, it's about strong women"
8-Apr-11	Aesop's Fables	Caxton	3	"Worth a project, but not for straight through"
8-Apr-11	Flint Implements of the Old Stone Age	Peter Timms	2	Nice overview of 1970s views
15-Apr-11	"Where's the Moon, There's the Moon"	Dan Chiasson	3	"Maybe I read it wrong, but I was bored; give voice to objects; not lyrical!"
18-Apr-11	Saga of the Volsungs	Anonymous	4	Lots of weird magic! And tribal migrations
21-Apr-11	Brave New World	Aldous Huxley	5	Great dystopia; is it Norway?; but OMG race!!
10-Jun-11	The Feminine Mystique	Betty Friedan	6	"Role of women, but also needs for whole individual"
11-Jul-11	Policy Paradox	Deborah Stone	3	Fine intro to policy and how political it is
30-Jul-11	Norwegian Wood	Haruki Murakami	5	Death and life are big themes
01-Aug-11	Swann's Way	Marcel Proust	5	"Memory theme and plot are tremendous, but woah is it slow"
03-Aug-11	History of Rome	Michael Grant	5	"Wars, politics, econ, art, lit: nice intro!"
08-Aug-11	Reading Roman Inscriptions	John Rogan	2	"Good info, but needs an editor!"
11-Aug-11	Diary of a Young Girl	Anne Frank	4	"Everyone should read, took me a day; poor Otto!"
14-Aug-11	Jurguthine War/Conspiracy of Catiline	Sallust (Hanford)	4	Actually fun; two really great stories
16-Aug-11	Lavinia	Ursula K. Le Guin	3	"Not her best, but I'm on a Rome kick"
28-Aug-11	Aeneid	Virgil	4	"Lots of people die, and lots of gods, but some highly poetical moments"
04-Sep-11	The Rope and other plays	Plautus (E F Watling)	3	Lots of haranguing and unsatisfying ends
12-Sep-11	Joan of Arc	Mark Twain	4	Great story w/great storyteller; Joan of Arc is one of smartest people ever
23-Sep-11	Razor's Edge	W. Somerset Maugham	3	"Religion is good point, but story goes nowhere"
09-Oct-11	Emma	Jane Austen	4	"More character change, but slower than P&P"
19-Oct-11	Robinson Crusoe	Daniel Defore	4	"Great story, but a lot of God. A lot."
22-Oct-11	Where the Red Fern Grows	Wilson Rawls	3	"OK story, but too many ends and bad syntax"
27-Oct-11	La Dame aux Camelias	Alexandre Dumas fils	3	"Jealousy is laughably, and end is cryable"
05-Nov-11	Silmarillion	J. R. R. Tolkein	4	"Wow, lots of history; not I feel really oriented, but some mystery gone"
30-Dec-11	Wandering God	Morris Berman	3	"OK, HGs didn't have religion, but made me think!"
06-Dec-11	The Forest People	Colin Turnbull	5	Outstanding ethnography. Perfect blend of story and analysis.
13-Dec-11	The Princess Bride	William Goldman	2	"Movie is actually better, this is too talky, too much conceit"
11-Jan-12	War and Peace	Leo Tolstoy	6	Not as long as it looks!!
20-Jan-12	The Emperor of All Maladies	Siddhartha Mukherjee	3	2 for form; 4 for content: got me interested in cancer
22-Jan-12	Roman Villas	David E Johnston	3	"Some good info and pictures, but not one explains figures well"
14-Feb-12	IQ84	Haruki Murakami	3	"Not my favorite of his, I'm a little disappointed; why make a world just to leave it?"
05-Feb-12	Learning Python	Mark Lutz & David Ascher	4	"Clear and useful, if repetitive within sections"
01-Feb-12	Fortran 90/95 Explained	Michael Metcalf & John Reid	3	Was is the book or the language? Probably the language
05-Mar-12	Mark Twain's Sketches	Mark Twain	4	"Not my favorite of his, but newspaper bits are a new form for me"
11-Mar-12	Sacred and the Profane	Mircea Eliade	2	First two chapters were OK; they got Golden Bough-y
01-Apr-12	Moby Dick	Herman Melville	5	A whale of a book about whales; and the horrible God
22-Apr-12	Laxdaela Saga	(Magnusson and Palsson)	5	"Very legible, intro is great, lots of links with Njal's Saga"
22-Apr-12	A Book on C	Al Kelley & Ira Pohl	4	Totally decent introduction. Nice sections on C++ and Java
29-Apr-12	Wuthering Heights	Emily Bronte	4	Much better than I remembered. Tiny world of love and devils.
02-May-12	Iceland: Land of the Sagas	David Roberts & Jon Krakauer	3	Some good stories and pictures. Good plug for the Road Guide!
05-May-12	"The Lion, the Witch, and the Wardrobe"	C. S. Lewis	4	Children walk right into a Jesus myth. Over before it starts.
12-May-12	Cod	Mark Kurlansky	4	Good little stories. But probably wasn't *all* cod.
23-May-12	Notes from a Small Island	Bill Bryson	3	"Some parts are LOL, but mostly repetitive complaints. Good travel notes."
03-Jun-12	Eyrbyggja Saga	Anonymous	4	Good for a saga! Lots of drama. Ties to Njal's and Laxdaela
06-Jun-12	Harry Potter and the Philosopher's Stone	J. K. Rowling	4	"Better than I thought, if only JK wouldn't treat us like idiots"
12-Jun-12	Harry Potter and the Chamber of Secrets	J. K. Rowling	3	Less good than #1. The Chamber doesn't even have any secrets!
18-Jun-12	Independent People	Halldor Laxness	5	Needs another read. Bjartur doesn't ever give up! Nonni's dishes
26-Jun-12	Egil's Saga	Anonymous	4	Lots of action. Egil is a badass Norwegian gangstapoet.
27-Jun-12	Harry Potter and the Prisoner of Azkaban	J. K. Rowling	3	"Unlike other people, I liked this one less than the rest."
30-Jun-12	Harry Potter and the Goblet of Fire	J. K. Rowling	4	More exciting. Three adventures. Duel. Ron and Herm smolder.
03-Jul-12	Harry Potter and the Order of the Phoenix	J. K. Rowling	2	Sooo long. And Harry is all pubescent and annoying.
06-Jul-12	Harry Potter and the Half-Blood Prince	J. K. Rowling	2	"Again, more whining."
08-Jul-12	Harry Potter and the Deathly Hallows	J. K. Rowling	3	Lots of action in this one.
24-Jul-12	The Fountainhead	Ayn Rand	2	700 pages for a few speeches about egotism.
28-Jul-12	Predictably Irrational	Dan Ariely	3	"Pop science re: decoys, anchors, free, social vs. market, ownership, cash vs. tokens"
10-Aug-12	Saga of Grettir the Strong	Anonymous	4	Lots of action. I can see why Bjartur of Summerhouses likes Grettir.
10-Sep-12	Count of Monte Cristo	Alexandre Dumas pere	4	"Too long in the middle, and not enough revelation at the end!"
13-Sep-12	Travels of Reverend Olafur Egilsson	Olafur Egilsson	3	"Some historic fun, but not too much"
15-Oct-12	Iceland's Bell	Halldor Laxness	5	"Start and end are great, Snaefridur is hard to understand; think Bjartur"
15-Oct-12	Wild Company	Mel & Patricia Ziegler	4	Entertaining. Why Banana Republic was cool and then turned corporate-boring
01-Dec-12	Walden	Henry David Thoreau	5	No exertion of the legs can bring two minds closer together
05-Dec-12	City of Glass	Paul Auster	5	Back to po-mo; maybe up there with Lot 49
08-Dec-12	Ghosts	Paul Auster	4	Not quite City of Glass. Hawthorne over Quixote
12-Dec-12	The Locked Room	Paul Auster	4	Layered character mixing
18-Dec-12	Persuasion	Jane Austen	4	More mature and autumnal than other Austen
28-Dec-12	Pale Fire	Vladimir Nabokov	5	Daring. Daring. Daring. Or gotcha?
31-Dec-12	The Road	Cormac McCarthy	4	"Unrelenting, horrifying, with a few clear weaknesses."
05-Jan-13	The Golden Compass	Philip Pullman	3	Much less good than I remember; enough explanation to ruin magic
10-Jan-13	The Subtle Knife	Philip Pullman	2	Booooring. We find the knife and Will.
23-Jan-13	The Amber Spyglass	Philip Pullman	2	Lots of weirdness. Action is lost.
10-Feb-13	The Trial	Franz Kafka	2	"Boring, long-winded, and I missed the point. Lots of women."
25-Feb-13	Super Sad True Love Story	Gary Shteyngart	3	"Apparati, collapsing America, Korean Eunice and Jewish Lenny"
28-Feb-13	The Word for World is Forest	Ursula K. Le Guin	4	"Quick, Hainish, you cannot unlearn!"
10-Mar-13	The Vinland Sagas	Anonymous	3	"Weird stories, not very much intrigue. Good companion to Eyrbyggja"
20-Mar-13	The Antibiotic Paradox	Stuart Levy	2	"Repetitive, outdated; good overview in 1st half, some good references"
31-Mar-13	Anna Karenina	Leo Tolstoy	6	"Humanity, God, love; easily the most insightful thing I've ever read"
16-Apr-13	Dune	Frank Herbert	3	"Complex world, but people don't make sense"
17-Apr-13	"Trees, Maps, and Theorems"	Jean-Luc Doumont	4	Presentation section is great; some good visuals; I go back and forth on documents
06-May-13	View with a Grain of Sand	Wislawa Szymborska	5	Wow! Some of these are awesome
13-May-13	Dune Messiah	Frank Herbert	3	Not as bad as I remember. Short. One little conspiracy story.
